# IG Paper Trading (Demo) Epic Candidates
# =========================================
# Exhaustive list of IG epic codes for paper trading (DEMO account).
# Sources:
#   - QuantConnect Lean.Brokerages.IG / IGSymbolMapper.cs (github.com/fabiankliem/Lean.Brokerages.IG)
#   - ig-python/trading-ig sample_utils.py and test_integration.py (github.com/ig-python/trading-ig)
#   - HedgeFundAgent ig_market_data.py (github.com/Web3Dobie/HedgeFundAgent)
#   - Tradinator universe.json (existing validated/candidate epics)
#
# Format: EPIC | Instrument Name | Asset Class | Sub-Class | Region
# NOTE: All epics must be verified against the IG Demo API via discover_universe.py
#       before being used in live paper trading. Availability may vary.
#
# Epic code conventions:
#   IX.D.xxx.DAILY.IP  -> Spread-bet daily (indices & single stocks)
#   CS.D.xxx.MINI.IP   -> CFD mini (forex)
#   CS.D.xxx.TODAY.IP  -> Spread-bet rolling (forex, spot metals, crypto)
#   CS.D.xxx.CFD.IP    -> CFD (crypto, some forex)
#   CC.D.xxx.USS.IP    -> Commodity DFB rolling (energy, metals, agri)
#   CC.D.xxx.UMP.IP    -> Commodity DFB (alternative code, some markets)
#   MT.D.xxx.MonthN.IP -> Metals futures (near-dated)
#   EN.D.xxx.MonthN.IP -> Energy futures (near-dated)
#   IR.D.xxx.MonthN.IP -> Interest rate futures
#   CO.D.xxx.MonthN.IP -> Agricultural commodity futures
#   CF.D.xxx.MON.IP    -> FX futures
#   IX.D.SUN*.DAILY.IP -> Weekend spread-bets
#
# ==============================================================================
# SECTION 1: GLOBAL INDICES — Spreadbet DAILY.IP
# ==============================================================================

# --- Americas ---
IX.D.SPTRD.DAILY.IP   | US 500 (S&P 500)              | index      | broad      | US
IX.D.NASDAQ.DAILY.IP  | US Tech 100 (Nasdaq 100)       | index      | broad      | US
IX.D.DOW.DAILY.IP     | Wall Street (DJIA)             | index      | broad      | US
IX.D.RUSSELL.DAILY.IP | Russell 2000                   | index      | small-cap  | US
IX.D.BOVESPA.DAILY.IP | Brazil Bovespa                 | index      | broad      | LATAM
IX.D.IPC.DAILY.IP     | Mexico IPC                     | index      | broad      | LATAM

# --- Europe ---
IX.D.FTSE.DAILY.IP    | FTSE 100                       | index      | broad      | UK
IX.D.FTSE250.DAILY.IP | FTSE 250                       | index      | mid-cap    | UK
IX.D.DAX.DAILY.IP     | Germany 40 (DAX)               | index      | broad      | EU
IX.D.CAC.DAILY.IP     | France 40 (CAC 40)             | index      | broad      | EU
IX.D.STOXX50.DAILY.IP | Euro Stoxx 50                  | index      | broad      | EU
IX.D.STXE.DAILY.IP    | Euro Stoxx 50 (alt)            | index      | broad      | EU
IX.D.AEX.DAILY.IP     | Netherlands 25 (AEX)           | index      | broad      | EU
IX.D.IBEX.DAILY.IP    | Spain 35 (IBEX 35)             | index      | broad      | EU
IX.D.SMI.DAILY.IP     | Switzerland Blue Chip (SMI)    | index      | broad      | EU
IX.D.MIB.DAILY.IP     | Italy 40 (FTSE MIB)            | index      | broad      | EU
IX.D.ITLY.DAILY.IP    | Italy 40 (alt code)            | index      | broad      | EU
IX.D.OMX.DAILY.IP     | Sweden OMX                     | index      | broad      | EU

# --- Asia / Pacific ---
IX.D.NIKKEI.DAILY.IP  | Japan 225 (Nikkei)             | index      | broad      | APAC
IX.D.HANGSENG.DAILY.IP| Hang Seng (Hong Kong)          | index      | broad      | APAC
IX.D.HSENG.DAILY.IP   | Hang Seng (alt code)           | index      | broad      | APAC
IX.D.ASX.DAILY.IP     | Australia 200                  | index      | broad      | APAC
IX.D.CHINA50.DAILY.IP | China 50                       | index      | broad      | APAC
IX.D.SHANGHAI.DAILY.IP| Shanghai Composite             | index      | broad      | APAC
IX.D.INDIA50.DAILY.IP | India 50 (Nifty 50)            | index      | broad      | APAC
IX.D.NIFTY.DAILY.IP   | Nifty 50                       | index      | broad      | APAC
IX.D.SENSEX.DAILY.IP  | Sensex (BSE)                   | index      | broad      | APAC
